epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.914,4.11534,12.5032,2.959,0.67827,0.58165,0.60158,0.25526,3.15838,10.0189,2.61035,0.000659498,0.000659498,0.000659498
2,428.348,3.81579,9.79987,2.85864,0.43382,0.53448,0.44945,0.1781,3.30422,9.32144,2.6623,0.00088853,0.00088853,0.00088853
3,627.925,3.56058,10.0395,2.83327,0.4941,0.62069,0.50753,0.2328,3.08266,8.32061,2.69395,0.000677563,0.000677563,0.000677563
