landmark,x,y,z
0,0.31418392062187195,0.11622941493988037,-0.3653440773487091
1,0.32749491930007935,0.08949368447065353,-0.3399919271469116
2,0.33589547872543335,0.08872020244598389,-0.3405037224292755
3,0.3451196849346161,0.08832001686096191,-0.34054920077323914
4,0.3035430312156677,0.09322738647460938,-0.33630597591400146
5,0.2964937090873718,0.09515154361724854,-0.336924284696579
6,0.29034560918807983,0.09726619720458984,-0.3373461961746216
7,0.356819212436676,0.09725052863359451,-0.18420368432998657
8,0.2807566821575165,0.11140591651201248,-0.1639462262392044
9,0.33346250653266907,0.14343732595443726,-0.302780419588089
10,0.30529552698135376,0.14455562829971313,-0.3003351092338562
11,0.4397679567337036,0.2437458634376526,-0.1230626031756401
12,0.25117921829223633,0.2786749601364136,-0.06143847480416298
13,0.49162089824676514,0.4210736155509949,-0.14870993793010712
14,0.23573295772075653,0.45403409004211426,-0.07508666813373566
15,0.544486403465271,0.5708215236663818,-0.3482818305492401
16,0.17297764122486115,0.5553703308105469,-0.23882701992988586
17,0.5793781280517578,0.6019766926765442,-0.3915591835975647
18,0.15345653891563416,0.6075027585029602,-0.28275468945503235
19,0.5801531076431274,0.6076529622077942,-0.44955840706825256
20,0.15373973548412323,0.608106255531311,-0.335026353597641
21,0.5634217858314514,0.6011752486228943,-0.37547624111175537
22,0.16354875266551971,0.5950361490249634,-0.2666284441947937
23,0.39563244581222534,0.6412808895111084,-0.023311790078878403
24,0.2884707450866699,0.6410126090049744,0.023024993017315865
25,0.41816407442092896,0.9182025194168091,0.045192163437604904
26,0.2944163978099823,0.8980052471160889,0.008486399427056313
27,0.4394530653953552,1.127952218055725,0.3417968451976776
28,0.3165520429611206,1.0279102325439453,0.21611596643924713
29,0.44820719957351685,1.1496869325637817,0.36393290758132935
30,0.33253368735313416,1.1385767459869385,0.23309673368930817
31,0.41492927074432373,1.227364420890808,0.27015236020088196
32,0.2903495132923126,1.1895750761032104,0.14214913547039032
