epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9472,4.22098,14.2186,5.59958,0.00212,0.63636,0.01301,0.00291,2.74938,14.3159,3.55464,0.0004,0.0004,0.0004
2,119.172,3.44008,12.4331,3.92566,0.00303,0.90909,0.31063,0.09156,2.52585,13.6282,2.83557,0.0005494,0.0005494,0.0005494
3,166.131,3.29735,12.1235,3.49892,0.00333,1,0.39548,0.1648,2.51517,13.2783,2.83569,0.0004216,0.0004216,0.0004216
